ParentLocation,Location,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh
Eastern Mediterranean,Yemen,41.33,13.5,86.9
Africa,Guinea-Bissau,41.33,19.04,82.03
Africa,Sierra Leone,41.69,17.55,83.48
Europe,Kazakhstan,41.72,29.18,58.24
Africa,Burkina Faso,41.73,16.01,93.66
Africa,Chad,41.88,22.72,70.71
South-East Asia,Bangladesh,41.96,37.68,46
Western Pacific,Mongolia,41.97,27.72,60.62
Africa,Gambia,42.12,22.98,72.24
Africa,Liberia,42.21,19.71,77.21
Africa,Togo,42.32,25.59,65.76
Eastern Mediterranean,Yemen,42.37,14.09,88.57
Eastern Mediterranean,Iraq,42.43,34.57,52.29
Western Pacific,China,42.52,40.61,44.23
Africa,Sierra Leone,42.53,18.26,84.22
Europe,Kyrgyzstan,42.9,28.87,61.23
Eastern Mediterranean,Yemen,43,14.52,90.51
Europe,Armenia,43.09,32.16,59.84
Africa,Liberia,43.54,20.11,80.86
Africa,Guinea,43.55,23.16,81.26
Africa,Burkina Faso,43.63,16.73,99.32
Africa,Mauritania,43.68,18.1,97.1
Western Pacific,Mongolia,43.71,30.31,59.18
Africa,Cote d'Ivoire,43.76,23.31,75.37
Africa,Senegal,43.84,26.24,60.93
Eastern Mediterranean,United Arab Emirates,43.93,37.59,53.41
Africa,Guinea-Bissau,44.01,19.88,88.84
Africa,Gambia,44.23,24.71,78.28
Africa,Ghana,44.3,26.62,69.99
Africa,Chad,44.5,23.97,77.64
Europe,Kyrgyzstan,44.58,30.45,62.94
Eastern Mediterranean,Iraq,44.83,36.88,55.24
Eastern Mediterranean,United Arab Emirates,45.07,37.82,54.87
Europe,Uzbekistan,45.1,31.41,66.66
Europe,Kazakhstan,45.27,29.26,63.82
Europe,Armenia,45.44,33.73,62.94
Eastern Mediterranean,Egypt,45.79,31.02,66.96
Africa,Sierra Leone,45.98,19.36,94.01
Africa,Senegal,46.07,28.25,61.62
Europe,Kyrgyzstan,46.08,33.04,64.6
Africa,Guinea,46.38,24.19,82.44
Africa,Chad,46.85,25.15,88.51
South-East Asia,Bangladesh,47.06,41.82,52.65
Europe,Kyrgyzstan,47.08,33.02,67.53
Africa,Mali,47.2,16.16,105.7
Africa,Ghana,47.2,29.14,74.02
Africa,Sierra Leone,47.75,20.34,98.35
Western Pacific,Mongolia,47.79,33.39,62.15
Europe,Uzbekistan,48.46,35.69,68.97
Europe,Kyrgyzstan,48.54,30.65,71.06
Africa,Burkina Faso,48.66,16.71,122.4
Africa,Cote d'Ivoire,49.72,25.36,95.52
Americas,Bahamas,5.31,3.46,8.3
Americas,Bahamas,5.32,3.89,7.79
Americas,Bahamas,5.32,4.05,7.55
Europe,Finland,5.33,4.92,5.73
Western Pacific,Nauru,5.39,1.59,11.48
Americas,Bahamas,5.65,4.07,8.11
Europe,Sweden,5.67,5.31,6.02
Americas,Canada,5.8,5.62,6.04
Western Pacific,Australia,5.83,5.47,6.23
Europe,Finland,5.83,5.49,6.17
Africa,Ghana,50.01,31.85,77.8
South-East Asia,India,50.48,47.97,52.7
South-East Asia,Bangladesh,50.63,45.48,55.38
Africa,Mali,50.85,16.99,120.9
Africa,Niger,51.33,21.29,106.3
Europe,Uzbekistan,51.5,35.9,77.39
South-East Asia,Bangladesh,51.56,46.38,56.5
Western Pacific,China,51.76,49.64,53.54
Europe,Uzbekistan,52.76,37.46,77.22
Africa,Niger,52.87,22.07,107.9
Western Pacific,China,53.03,51.14,54.67
Africa,Mauritania,53.22,19.45,118.9
Africa,Niger,53.53,21.34,108.1
South-East Asia,Democratic People's Republic of Korea,53.88,40.87,69.26
Eastern Mediterranean,Pakistan,54,43.14,70.22
Africa,Burkina Faso,54.15,16.93,139.6
Western Pacific,China,54.47,52.25,56.41
Africa,Ghana,54.8,36.12,85.44
South-East Asia,Bangladesh,55.05,48.99,60.87
South-East Asia,India,55.17,52.24,57.59
Europe,Uzbekistan,55.19,36.97,81.97
Africa,Nigeria,55.33,37.21,75.23
South-East Asia,India,55.48,52.72,57.77
Eastern Mediterranean,Pakistan,55.82,44.63,70.23
Eastern Mediterranean,Bahrain,55.88,44.04,68.77
Eastern Mediterranean,Pakistan,55.9,45.37,67.8
Western Pacific,China,56.12,53.47,58.56
Eastern Mediterranean,Bahrain,56.15,49.74,63.65
Africa,Nigeria,56.33,37.02,75.52
Eastern Mediterranean,Bahrain,56.38,49.48,63.08
Eastern Mediterranean,Bahrain,56.41,49.84,63.34
South-East Asia,Democratic People's Republic of Korea,56.44,42.69,72.96
Africa,Cameroon,56.57,35.45,85.98
Africa,Mauritania,56.72,18.92,133
Eastern Mediterranean,Kuwait,56.83,46.1,69.86
South-East Asia,Democratic People's Republic of Korea,56.89,43.12,73.73
Africa,Cote d'Ivoire,57,27.04,114.9
Africa,Nigeria,57.28,37.86,79.98
Eastern Mediterranean,Saudi Arabia,57.37,40.06,76.42
Eastern Mediterranean,Egypt,57.39,37.33,86.94
Eastern Mediterranean,Pakistan,57.62,48.04,68.1
Africa,Nigeria,57.83,37.05,81.07
Africa,Chad,58.23,26.39,123.6
Africa,Niger,58.34,25.2,120.2
Africa,Nigeria,58.44,38.65,88.08
Eastern Mediterranean,Saudi Arabia,58.48,41.37,77.34
South-East Asia,India,58.64,55.88,61.27
Eastern Mediterranean,Qatar,58.74,45.24,75.19
Eastern Mediterranean,Kuwait,59.02,49.04,75.55
Africa,Cameroon,59.09,39.2,85.56
Eastern Mediterranean,Pakistan,59.46,51.37,68.19
Western Pacific,Mongolia,59.52,41.53,78.21
Africa,Ghana,59.6,39.75,92.35
Europe,Tajikistan,59.65,40.17,89.4
South-East Asia,Democratic People's Republic of Korea,59.78,45.23,77.34
Eastern Mediterranean,Afghanistan,59.99,42.52,81.99
Europe,Iceland,6.18,5.34,7.01
Europe,Estonia,6.19,5.42,6.92
Europe,Norway,6.28,5.87,6.69
Europe,Sweden,6.37,6.1,6.68
Europe,Iceland,6.43,5.67,7.16
Europe,Finland,6.45,6.11,6.93
Europe,Sweden,6.46,6.18,6.8
Western Pacific,Niue,6.53,3.31,12.8
Western Pacific,Niue,6.53,3.31,12.8
Western Pacific,Australia,6.6,6.31,6.93
Western Pacific,New Zealand,6.67,6.21,7.11
Western Pacific,Australia,6.72,6.38,7.07
Europe,Estonia,6.75,6.1,7.29
Europe,Finland,6.75,6.39,7.2
Western Pacific,Australia,6.75,6.46,7.07
Western Pacific,Australia,6.76,6.47,7.07
Europe,Iceland,6.78,6.13,7.39
Europe,Norway,6.82,6.42,7.17
Europe,Sweden,6.89,6.63,7.18
Americas,Canada,6.9,6.7,7.14
Europe,Iceland,6.91,6.26,7.5
Western Pacific,New Zealand,6.91,6.38,7.45
Western Pacific,New Zealand,6.94,6.54,7.35
Western Pacific,Kiribati,6.95,2.77,13.63
Western Pacific,Tuvalu,6.95,2.79,12.7
Western Pacific,Tuvalu,6.95,2.79,12.7
Western Pacific,Marshall Islands,6.96,2.72,14.16
Europe,Estonia,6.96,6.24,7.6
Eastern Mediterranean,Qatar,60.4,46.47,77.44
Eastern Mediterranean,Bahrain,61.25,39.12,89.92
South-East Asia,India,61.5,58.99,64.32
Eastern Mediterranean,Egypt,61.56,39.67,90.1
South-East Asia,Democratic People's Republic of Korea,61.76,46.1,79.8
Africa,Niger,62.34,27.13,133.6
Eastern Mediterranean,Saudi Arabia,62.45,46.1,83.76
Eastern Mediterranean,Egypt,62.48,40.18,91.56
Eastern Mediterranean,Saudi Arabia,62.73,46.29,82.76
Eastern Mediterranean,Saudi Arabia,63.03,46.25,81.91
Europe,Tajikistan,63.28,43.86,91.64
Europe,Tajikistan,63.54,42.39,92.41
Africa,Cameroon,63.56,39.48,90.35
Africa,Cameroon,63.66,42.59,88.91
Africa,Cameroon,63.93,39.13,93.96
Eastern Mediterranean,Egypt,64.95,41.25,93.11
Africa,Chad,65.23,24.89,146.6
Eastern Mediterranean,Qatar,65.91,50.28,79.53
Eastern Mediterranean,Kuwait,66.17,57.39,75.31
Europe,Tajikistan,67.01,46.67,94.79
Eastern Mediterranean,Qatar,67.03,50.75,81.88
Eastern Mediterranean,Afghanistan,67.2,49.05,92.67
Eastern Mediterranean,Afghanistan,67.9,48.45,94.1
Eastern Mediterranean,Qatar,68.23,51.99,84.34
Eastern Mediterranean,Kuwait,69.43,60.02,80.52
Western Pacific,Mongolia,69.45,48.43,89.74
Eastern Mediterranean,Kuwait,69.88,60.48,81.44
Western Pacific,New Zealand,7.01,6.59,7.46
Europe,Estonia,7.02,6.41,7.63
Europe,Estonia,7.08,6.44,7.7
Europe,Finland,7.09,6.63,7.63
Western Pacific,Marshall Islands,7.1,2.85,14.53
Western Pacific,Tonga,7.14,4.25,12.57
Americas,Canada,7.15,6.97,7.37
Western Pacific,New Zealand,7.16,6.86,7.53
Western Pacific,Fiji,7.2,4.23,11.58
Western Pacific,Tonga,7.26,4.45,12.61
Europe,Iceland,7.26,6.54,8.06
Europe,Sweden,7.27,6.92,7.61
Western Pacific,Nauru,7.28,2.91,13.23
Western Pacific,Nauru,7.28,2.91,13.23
Western Pacific,Nauru,7.28,2.91,13.23
Americas,United States of America,7.3,7.19,7.46
Western Pacific,Kiribati,7.31,2.95,14.11
Western Pacific,Fiji,7.32,4.31,11.85
Americas,Dominican Republic,7.39,4.61,10.77
Western Pacific,Cook Islands,7.44,3.16,15.35
Western Pacific,Marshall Islands,7.45,3.14,15.4
Western Pacific,Marshall Islands,7.45,3.14,15.4
Western Pacific,Cook Islands,7.45,3.15,15.44
Western Pacific,Tonga,7.45,4.7,12.57
Western Pacific,Tonga,7.45,4.7,12.57
Western Pacific,Cook Islands,7.5,3.12,15.69
Western Pacific,Cook Islands,7.5,3.12,15.69
Americas,Canada,7.52,7.33,7.75
Western Pacific,Samoa,7.53,2.8,17.23
Americas,Dominican Republic,7.56,4.78,11.09
Europe,Norway,7.59,7.15,7.94
Western Pacific,Micronesia (Federated States of),7.6,3.8,15.05
Western Pacific,Brunei Darussalam,7.63,6.34,9.21
Western Pacific,Kiribati,7.65,3.18,14.92
Western Pacific,Kiribati,7.65,3.18,14.92
Western Pacific,Micronesia (Federated States of),7.65,3.84,15.18
Western Pacific,Solomon Islands,7.68,2.82,14.41
Western Pacific,Brunei Darussalam,7.69,6.41,9.29
Americas,Canada,7.71,7.49,7.95
Western Pacific,Samoa,7.76,2.93,17.34
Europe,Portugal,7.78,7.29,8.22
Western Pacific,Brunei Darussalam,7.81,6.53,9.47
Western Pacific,Solomon Islands,7.86,2.85,14.45
Europe,Norway,7.86,7.47,8.19
Americas,Dominican Republic,7.87,4.92,11.53
Western Pacific,Micronesia (Federated States of),7.94,4,15.84
Western Pacific,Micronesia (Federated States of),7.94,4,15.84
Western Pacific,Palau,7.99,2.99,18.78
Europe,Tajikistan,73.92,53.4,96.68
Western Pacific,Palau,8.02,3,18.78
Western Pacific,Brunei Darussalam,8.03,6.46,10.06
Western Pacific,Samoa,8.05,3.11,17.48
Western Pacific,Samoa,8.05,3.11,17.48
Western Pacific,Fiji,8.05,4.89,12.98
Western Pacific,Fiji,8.05,4.89,12.98
Americas,Dominican Republic,8.05,4.96,12
Western Pacific,Palau,8.15,3.08,18.82
Western Pacific,Palau,8.15,3.08,18.82
Americas,Saint Kitts and Nevis,8.15,6.04,11.33
Americas,Saint Kitts and Nevis,8.15,6.04,11.33
Americas,United States of America,8.15,8.02,8.29
Europe,Norway,8.21,7.83,8.63
Americas,Dominican Republic,8.26,4.96,12.59
Europe,Russian Federation,8.28,6.53,10.51
Americas,United States of America,8.31,8.21,8.43
Western Pacific,Solomon Islands,8.36,2.9,15.35
Europe,Ireland,8.39,7.66,9.14
Western Pacific,Brunei Darussalam,8.4,6.97,10.57
Western Pacific,Vanuatu,8.45,3.03,19.13
Americas,Dominica,8.45,5.7,12.61
Americas,Saint Kitts and Nevis,8.59,6.44,11.44
Western Pacific,Vanuatu,8.62,3.29,19.07
Americas,Saint Kitts and Nevis,8.62,6.45,11.44
Americas,United States of America,8.62,8.51,8.75
Europe,Portugal,8.65,8.27,9
Europe,Portugal,8.68,8.37,8.93
Western Pacific,Solomon Islands,8.69,3.03,15.76
Americas,Antigua and Barbuda,8.7,5.92,12.14
Western Pacific,Solomon Islands,8.77,3.06,15.86
Americas,Dominica,8.81,6.09,12.75
Western Pacific,Papua New Guinea,8.86,3.32,20.57
Americas,United States of America,8.87,8.73,9.01
Americas,Antigua and Barbuda,8.89,6.03,12.31
Europe,United Kingdom of Great Britain and Northern Ireland,8.96,8.57,9.57
Western Pacific,Papua New Guinea,8.97,3.34,20.82
Americas,Dominica,8.99,6.25,12.99
Americas,Dominica,8.99,6.25,12.99
Eastern Mediterranean,Afghanistan,81.38,58.5,110.1
Western Pacific,Vanuatu,9.02,3.57,18.89
Western Pacific,Vanuatu,9.02,3.57,18.89
Europe,Portugal,9.02,8.73,9.26
Americas,Antigua and Barbuda,9.03,6.17,12.43
Americas,Antigua and Barbuda,9.03,6.17,12.43
Europe,Ireland,9.16,8.58,9.68
Europe,Andorra,9.23,7.61,11.19
Western Pacific,Papua New Guinea,9.27,3.41,21.93
Europe,Switzerland,9.35,9.01,9.77
Europe,Portugal,9.39,9.05,9.69
Europe,Russian Federation,9.49,7.7,11.57
Americas,Saint Vincent and the Grenadines,9.52,6.59,13.14
Americas,Haiti,9.54,5.54,16.34
Americas,Saint Lucia,9.57,6.88,13.43
Americas,Saint Lucia,9.57,6.88,13.43
Western Pacific,Papua New Guinea,9.58,3.43,23.42
Americas,Saint Lucia,9.62,6.92,13.39
Americas,Uruguay,9.64,6.7,13.9
Americas,Saint Lucia,9.65,6.94,13.37
Europe,Ireland,9.66,9.11,10.23
Europe,Ireland,9.7,9.15,10.15
Europe,Ireland,9.74,8.95,10.59
Western Pacific,Papua New Guinea,9.76,3.38,24.3
Europe,Russian Federation,9.76,7.76,12.24
Americas,Haiti,9.78,5.48,17.33
Europe,Denmark,9.82,8.64,11.3
Europe,Spain,9.84,9.57,10.19
Americas,Uruguay,9.88,7.94,12.18
Americas,Barbados,9.9,6.67,15.49
Americas,Uruguay,9.9,7.66,12.45
Europe,Luxembourg,9.93,9.05,10.79
Americas,Uruguay,9.94,7.83,12.3
Europe,Andorra,9.94,8.72,11.68
Europe,Malta,9.99,9.18,10.89
Eastern Mediterranean,Afghanistan,90.88,65.86,123.3
Americas,Barbados,10,6.8,14.13
Europe,Malta,10.01,9.13,10.91
Europe,France,10.01,9.73,10.24
Americas,Haiti,10.02,5.67,18.46
Africa,Mauritius,10.06,7.98,12.5
Europe,United Kingdom of Great Britain and Northern Ireland,10.06,9.65,10.5
Europe,Spain,10.06,9.82,10.32
Americas,Trinidad and Tobago,10.1,7.4,12.43
Americas,Grenada,10.18,7.16,13.03
Europe,Luxembourg,10.27,9.68,10.9
Europe,Spain,10.31,10.12,10.52
Americas,Grenada,10.31,7.21,13.09
Americas,Grenada,10.31,7.21,13.09
Europe,Switzerland,10.32,9.93,10.7
Americas,Trinidad and Tobago,10.34,7.78,12.71
Europe,Denmark,10.34,9.22,11.68
Americas,Guyana,10.37,5.49,16.3
Europe,Denmark,10.39,9.48,11.48
Americas,Trinidad and Tobago,10.46,8.07,12.67
Americas,Trinidad and Tobago,10.47,7.96,12.63
Americas,Trinidad and Tobago,10.48,7.82,12.65
Europe,Luxembourg,10.5,9.89,11.09
Europe,Switzerland,10.51,10.24,10.81
Africa,Mauritius,10.6,8.22,13.4
Americas,Haiti,10.61,6.12,19.68
Africa,Mauritius,10.66,8.47,13.05
Africa,Mauritius,10.66,8.48,13.1
Europe,Luxembourg,10.69,9.81,11.66
Americas,Belize,10.79,4.17,21.31
Americas,Belize,10.8,4.16,21.18
Americas,Belize,10.8,4.16,21.24
Americas,Belize,10.8,4.29,21.67
Europe,Russian Federation,10.8,8.78,13.19
Europe,Spain,10.83,10.61,11.06
Americas,Belize,10.83,4.54,23.28
Europe,Switzerland,10.86,10.58,11.13
Europe,Denmark,10.88,10.13,11.8
Americas,Suriname,10.91,5.79,17.56
Europe,United Kingdom of Great Britain and Northern Ireland,10.95,10.55,11.28
Europe,San Marino,11,9.2,12.89
Europe,San Marino,11,9.2,12.89
Europe,San Marino,11,9.2,12.89
Americas,Cuba,11.07,7.48,16.15
Americas,Guyana,11.08,5.75,17.33
Africa,Namibia,11.08,6.01,18.95
Europe,Russian Federation,11.1,8.98,14.13
Europe,United Kingdom of Great Britain and Northern Ireland,11.2,10.78,11.56
Europe,Germany,11.2,10.95,11.4
Americas,Guyana,11.22,5.86,17.69
Europe,Spain,11.33,11.12,11.57
Africa,Mauritius,11.34,8.9,14.24
Americas,Brazil,11.49,8.65,15.36
Europe,Denmark,11.5,10.95,12.41
Europe,Belgium,11.51,10.91,12.15
Europe,France,11.55,11.32,11.77
Europe,Netherlands (Kingdom of the),11.57,11.01,12.09
Europe,Switzerland,11.62,11.29,11.93
Europe,Austria,11.64,11.26,12.11
Americas,Guyana,11.64,6.1,18.49
Europe,United Kingdom of Great Britain and Northern Ireland,11.66,11.25,12.04
South-East Asia,Maldives,11.68,8.9,15.65
Europe,Lithuania,11.7,10.47,13.02
Europe,France,11.88,11.61,12.12
South-East Asia,Maldives,11.91,9.49,15.72
Americas,Guyana,11.92,6.17,19.28
Africa,Namibia,11.93,6.25,18.89
Europe,Russian Federation,11.99,9.94,14.65
Western Pacific,Japan,12,10.67,13.47
South-East Asia,Maldives,12.08,9.63,15.74
Europe,Latvia,12.15,10.46,13.91
Americas,Brazil,12.15,9.91,15.04
Americas,Suriname,12.23,6.7,19.33
Europe,Netherlands (Kingdom of the),12.27,11.69,12.95
Europe,Germany,12.28,12.03,12.51
Africa,Kenya,12.29,7.46,17.2
Europe,Russian Federation,12.38,10.38,15.14
Africa,Zimbabwe,12.4,6.69,21.47
Western Pacific,Singapore,12.46,7.73,17.87
Europe,Germany,12.47,12.25,12.66
Africa,Kenya,12.47,7.78,17.66
Africa,Botswana,12.48,8.89,18.34
Europe,Netherlands (Kingdom of the),12.49,12.04,13
Americas,Argentina,12.52,10.21,15.01
Africa,Namibia,12.58,6.97,19.84
South-East Asia,Maldives,12.6,9.78,17.21
Africa,Kenya,12.61,8.06,18.06
Europe,Netherlands (Kingdom of the),12.65,12.2,13.18
Americas,Argentina,12.69,10.06,15.46
Europe,Austria,12.7,12.42,13
Eastern Mediterranean,Morocco,12.76,10,16.67
Africa,Botswana,12.78,9.25,18.72
Americas,Suriname,12.81,6.9,20.42
Europe,Lithuania,12.92,11.88,14.31
South-East Asia,Maldives,12.93,10.24,17.21
Europe,Netherlands (Kingdom of the),12.93,12.58,13.33
Western Pacific,Japan,12.95,11.74,14.15
Europe,Belgium,12.95,12.33,13.53
Europe,Austria,12.98,12.66,13.41
Europe,France,12.98,12.72,13.31
Europe,Germany,13.01,12.79,13.23
Americas,Paraguay,13.1,8.7,20.64
Eastern Mediterranean,Morocco,13.11,10.45,16.82
Europe,Malta,13.11,11.28,15.49
Africa,Zimbabwe,13.12,7.07,22.85
Americas,Suriname,13.12,7.23,21.02
Europe,Belgium,13.13,12.7,13.57
Africa,Namibia,13.17,6.65,22.17
Africa,Zimbabwe,13.17,7.05,23.68
Americas,Cuba,13.17,9.05,17.93
Eastern Mediterranean,Morocco,13.26,10.9,16.41
Americas,Brazil,13.29,11.53,15.66
Americas,Suriname,13.32,7.44,21.4
Europe,Cyprus,13.35,11.17,15.65
Western Pacific,Japan,13.41,12.45,14.29
Eastern Mediterranean,Morocco,13.49,11.2,16.42
Europe,Belgium,13.5,13.07,13.95
Americas,Argentina,13.51,9.46,18.12
Eastern Mediterranean,Somalia,13.55,7.86,22.66
Americas,Argentina,13.56,10.23,17.61
Europe,Greece,13.58,11.98,15.34
Eastern Mediterranean,Morocco,13.63,11.37,16.33
Americas,Brazil,13.71,12.15,15.71
Americas,Cuba,13.71,9.88,18.22
Western Pacific,Japan,13.78,12.83,14.53
Africa,Botswana,13.85,10.19,19.52
Africa,Namibia,13.87,6.19,27.17
Europe,Malta,13.9,12.78,15.43
Europe,France,13.9,13.53,14.36
Africa,Comoros,13.9,7.06,23.38
Europe,Malta,13.91,12.79,15.44
Europe,Germany,13.94,13.71,14.23
Europe,Malta,14.06,13.06,15.54
Europe,Austria,14.06,13.71,14.58
Americas,Paraguay,14.08,10.56,20.97
Western Pacific,Japan,14.11,13.25,14.82
Africa,South Africa,14.16,11.87,16.18
Africa,Kenya,14.21,8.15,20.26
Americas,Jamaica,14.23,11.62,16.5
Eastern Mediterranean,Somalia,14.23,7.58,24.24
Africa,Comoros,14.24,7.32,23.28
Africa,Comoros,14.25,7.32,23.28
Eastern Mediterranean,Somalia,14.25,7.57,24.26
Europe,Lithuania,14.26,12.8,16.63
Americas,Panama,14.29,10.55,19.32
Europe,Italy,14.31,14,14.6
Europe,Belgium,14.35,13.88,14.77
Africa,Comoros,14.35,7.41,23.32
Africa,Botswana,14.36,10.47,20.29
Americas,Paraguay,14.36,10.71,20.34
Americas,Brazil,14.37,13.01,16.22
Americas,Argentina,14.43,10.04,19.38
Americas,Jamaica,14.43,12.28,16.63
Eastern Mediterranean,Somalia,14.44,7.09,27.76
Africa,Zimbabwe,14.48,7.21,26.78
Africa,United Republic of Tanzania,14.51,9.81,21.51
Americas,Panama,14.52,10.54,18.7
Europe,Lithuania,14.53,13.44,16.14
Africa,Comoros,14.57,7.58,23.46
Americas,Panama,14.61,10.39,19.11
Americas,Panama,14.66,10.55,18.8
Africa,Botswana,14.7,10.27,20.84
Europe,Latvia,14.71,12.76,16.8
Africa,Eswatini,14.75,10.4,19.6
Europe,Lithuania,14.8,13.73,15.8
Americas,Panama,14.85,11.04,20.76
Europe,Cyprus,14.88,13.1,17.18
Europe,Cyprus,14.88,13.21,16.52
Europe,Romania,14.88,14.14,15.63
Eastern Mediterranean,Somalia,14.94,6.85,29.83
Europe,Ukraine,14.98,11.38,19.78
Africa,Zimbabwe,14.98,7.2,28.13
Africa,Madagascar,15.04,10,22.26
Africa,Eswatini,15.05,10.56,20
Europe,Austria,15.13,14.51,16.04
Americas,Paraguay,15.16,11.63,21.09
Europe,Republic of Moldova,15.28,11.31,19.44
Africa,United Republic of Tanzania,15.35,10.83,22.7
Americas,Jamaica,15.36,13.1,17.56
Europe,Latvia,15.39,13.71,17.37
Europe,Greece,15.44,13.53,17.34
Americas,Paraguay,15.45,11.79,21.37
Europe,Republic of Moldova,15.5,11.84,19.46
Europe,Romania,15.52,14.81,16.25
Africa,Seychelles,15.58,11.08,21.38
Europe,Greece,15.61,14.47,16.85
Europe,Republic of Moldova,15.64,11.77,19.4
Africa,Eswatini,15.7,10.9,21.03
Europe,Cyprus,15.87,14.52,17.26
Africa,United Republic of Tanzania,15.89,10.55,22.94
Africa,Eswatini,15.94,11.05,21.62
Europe,Romania,15.96,15.42,16.52
Europe,Republic of Moldova,16.08,11.99,20.67
Africa,United Republic of Tanzania,16.09,11.4,23.43
Americas,Colombia,16.12,13.59,18.84
Europe,Ukraine,16.16,11.74,22.96
Africa,Mozambique,16.17,7.86,26.68
Americas,Colombia,16.18,14.15,18.52
Western Pacific,Malaysia,16.22,14.78,17.42
Africa,Seychelles,16.23,11.44,22.25
Africa,United Republic of Tanzania,16.24,10.69,24.63
Africa,Madagascar,16.24,10.99,24.28
Africa,Mozambique,16.31,8.36,26.29
Europe,Belarus,16.34,13.88,19.6
Americas,Jamaica,16.34,14.11,18.6
Europe,Italy,16.36,16.03,16.65
Africa,Eswatini,16.37,11.33,22.83
Americas,Cuba,16.43,12.2,21.48
Western Pacific,Cambodia,16.57,14.81,18.54
Africa,Zambia,16.57,7.73,31.22
Europe,Ukraine,16.58,12.5,22.96
Europe,Greece,16.62,15.67,17.59
Western Pacific,Singapore,16.63,12.98,21.92
Western Pacific,Singapore,16.63,12.98,21.92
Western Pacific,Singapore,16.63,12.98,21.92
Western Pacific,Cambodia,16.67,14.92,18.54
Europe,Hungary,16.68,15.74,17.88
Africa,Mozambique,16.68,8.6,26.76
Africa,Seychelles,16.69,11.68,23.05
Africa,Seychelles,16.69,11.68,23.05
Europe,Italy,16.69,16.42,16.94
Africa,South Africa,16.73,15.07,18.82
Europe,Cyprus,16.73,15.67,17.91
Africa,Madagascar,16.9,11.54,25.69
Western Pacific,Cambodia,17.02,15.2,18.88
Americas,Costa Rica,17.05,13.92,21.46
Western Pacific,Viet Nam,17.08,14.11,20.23
Europe,Slovenia,17.09,15.89,18.41
Europe,Romania,17.1,16.59,17.65
Europe,Greece,17.19,16.32,18.13
Americas,Colombia,17.21,15.1,19.36
Europe,Republic of Moldova,17.22,12.21,22.97
Europe,Czechia,17.23,16.69,17.96
South-East Asia,Indonesia,17.27,14.15,21.52
Africa,Zambia,17.29,7.7,32.68
Europe,Italy,17.3,17.02,17.55
Africa,Lesotho,17.41,11.53,25.87
Americas,Costa Rica,17.45,14.99,21.16
Europe,Hungary,17.46,16.54,18.73
Western Pacific,Cambodia,17.54,15.55,19.92
Africa,Zambia,17.6,7.46,32.72
Africa,Lesotho,17.64,12.03,26.65
Europe,Hungary,17.68,16.87,18.66
Europe,Ukraine,17.8,13.28,25.23
South-East Asia,Indonesia,17.81,14.46,21.82
Africa,Mozambique,17.84,9.97,28.58
Europe,Belarus,17.86,15.3,21.17
Europe,Slovenia,17.9,16.97,18.85
Europe,Slovenia,17.91,17.06,18.97
Africa,Lesotho,17.95,12.2,27.13
Americas,Costa Rica,18.04,15.6,20.98
Americas,Ecuador,18.1,14.71,21.44
Americas,Ecuador,18.2,14.66,22.01
Americas,Jamaica,18.27,15.49,20.89
Europe,Latvia,18.27,16.54,20.57
Europe,Czechia,18.28,17.76,18.87
Europe,Romania,18.34,17.66,18.87
Europe,Italy,18.35,18.03,18.62
Africa,Malawi,18.36,6.15,37.02
Americas,Mexico,18.43,16.22,21.16
Europe,Hungary,18.43,17.47,19.39
Europe,Israel,18.45,15.9,21.91
Americas,Costa Rica,18.46,16.22,21.2
Americas,Colombia,18.48,16.63,20.29
Africa,Madagascar,18.53,13.16,26.8
Americas,Ecuador,18.56,15.65,21.81
Eastern Mediterranean,Djibouti,18.59,7.4,38.15
Europe,Albania,18.6,16.62,20.79
Europe,Slovenia,18.6,17.78,19.53
Europe,Ukraine,18.62,13.87,26.58
Africa,Malawi,18.69,6.14,37.37
Africa,Malawi,18.71,6.23,38.07
South-East Asia,Timor-Leste,18.74,7.99,36.12
Europe,Belarus,18.77,16.14,22.07
Africa,Lesotho,18.85,13.17,28.91
South-East Asia,Indonesia,18.87,16.06,22.73
Europe,Croatia,18.87,17.26,20.66
Americas,Ecuador,18.91,16.59,21.7
Europe,Czechia,18.91,18.45,19.49
Western Pacific,Cambodia,18.93,15.82,22.17
Americas,Costa Rica,18.93,16.61,21.66
Western Pacific,Philippines,18.94,15.03,23.62
Africa,Mozambique,18.97,10.78,31.07
Africa,South Africa,18.98,17.77,20.96
Europe,Croatia,19.01,17.53,20.61
Europe,Slovakia,19.01,17.97,20.2
Europe,Czechia,19.03,18.44,19.55
Europe,Croatia,19.1,17.64,20.66
Africa,Zambia,19.12,7.8,40.55
Europe,Albania,19.13,17.34,21.32
Europe,Czechia,19.23,18.49,20.03
South-East Asia,Timor-Leste,19.27,8.37,39
Europe,Israel,19.3,17.9,20.63
South-East Asia,Timor-Leste,19.3,8.06,40.07
Americas,Ecuador,19.33,17.3,21.99
Europe,Croatia,19.34,17.99,20.77
Europe,Albania,19.39,17.49,21.83
South-East Asia,Bhutan,19.42,16.94,22.42
South-East Asia,Bhutan,19.42,16.94,22.42
Europe,Albania,19.42,17.63,21.69
Americas,Venezuela (Bolivarian Republic of),19.44,13.83,26.76
Europe,Albania,19.47,17.28,22.12
Europe,Slovakia,19.52,18.57,20.47
Americas,Nicaragua,19.55,13.8,27.44
