ParentLocation,Location,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh
Europe,Uzbekistan,59.74,41.49,92.11
South-East Asia,Democratic People's Republic of Korea,59.83,44.47,78.2
Eastern Mediterranean,Pakistan,59.92,51.85,68.52
Europe,Sweden,6.13,5.73,6.5
Americas,Canada,6.13,5.95,6.35
Europe,Finland,6.33,5.94,6.71
Europe,Iceland,6.37,5.5,7.23
Western Pacific,Niue,6.43,3.17,13.63
Western Pacific,Niue,6.43,3.17,13.63
Western Pacific,Australia,6.52,5.88,7.02
Europe,Iceland,6.64,5.86,7.4
Europe,Norway,6.73,6.3,7.18
Europe,Estonia,6.76,6.01,7.66
Western Pacific,Tuvalu,6.87,2.95,13.43
Western Pacific,Tuvalu,6.87,2.95,13.43
Europe,Sweden,6.9,6.6,7.24
Western Pacific,Marshall Islands,6.98,2.91,14.76
Western Pacific,Fiji,6.98,4.04,11.54
Europe,Iceland,6.98,6.29,7.63
Western Pacific,Tonga,6.99,4.09,13.03
Africa,Cameroon,60.03,37.68,87.21
Eastern Mediterranean,Egypt,60.5,39.13,88.35
Eastern Mediterranean,Afghanistan,61.09,42.74,83.77
Eastern Mediterranean,Egypt,61.37,39.62,89.73
South-East Asia,India,61.69,59.5,64.63
Africa,Chad,61.81,24.54,135.8
South-East Asia,Democratic People's Republic of Korea,61.86,45.37,80.94
Europe,Uzbekistan,62.62,42.64,93.35
Eastern Mediterranean,Saudi Arabia,62.85,46.12,85
Eastern Mediterranean,Saudi Arabia,63.25,46.48,86.12
Eastern Mediterranean,Saudi Arabia,63.66,46.36,84.53
Eastern Mediterranean,Egypt,63.72,40.58,91.09
Eastern Mediterranean,Qatar,63.84,48.87,76.69
Eastern Mediterranean,Qatar,64.98,49.65,79.14
Eastern Mediterranean,Kuwait,65.7,56.96,74.75
Western Pacific,Mongolia,66,44.88,89.09
Eastern Mediterranean,Qatar,66.18,50.63,81.53
Europe,Tajikistan,67.42,43.05,99.54
Eastern Mediterranean,Afghanistan,68.26,49.6,94.02
Eastern Mediterranean,Afghanistan,68.88,49.03,95.5
Eastern Mediterranean,Kuwait,69.04,59.72,80.11
Eastern Mediterranean,Kuwait,69.49,60.18,81.02
Americas,Dominican Republic,7,4.54,10.06
Europe,Sweden,7.01,6.67,7.38
Europe,Finland,7.05,6.66,7.59
Western Pacific,Fiji,7.1,4.08,11.78
Western Pacific,Tonga,7.1,4.2,13.16
Western Pacific,Marshall Islands,7.12,3.01,15.04
Europe,Iceland,7.15,6.44,7.8
Americas,Dominican Republic,7.19,4.71,10.27
Western Pacific,Kiribati,7.2,3.06,14.79
Western Pacific,Solomon Islands,7.26,2.52,14.5
Western Pacific,Tonga,7.3,4.38,13.07
Western Pacific,Tonga,7.3,4.38,13.07
Western Pacific,Australia,7.31,6.82,7.85
Europe,Norway,7.33,6.9,7.72
Western Pacific,Samoa,7.34,2.87,18.83
Americas,Canada,7.34,7.13,7.6
Western Pacific,New Zealand,7.35,6.84,7.93
Europe,Estonia,7.38,6.7,8.09
Europe,Finland,7.39,6.96,7.86
Western Pacific,Nauru,7.4,3.02,14.14
Western Pacific,Nauru,7.4,3.02,14.14
Western Pacific,Nauru,7.4,3.02,14.14
Western Pacific,Cook Islands,7.41,3.26,16.54
Western Pacific,Micronesia (Federated States of),7.41,3.49,15.3
Western Pacific,Solomon Islands,7.43,2.64,14.7
Western Pacific,Cook Islands,7.43,3.27,16.66
Western Pacific,Brunei Darussalam,7.44,6.18,9.03
